model,MAE,RMSE,MAPE,R2
Random Forest,53.42048415898618,85.82706376548118,0.2740132640762311,0.6473775998594071
Gradient Boosting,57.003867156907496,84.7269321187842,0.29758874065791235,0.6563594942378876
